Month,Day,1980's Average,1990's Average,2000's Average,2010's Average,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01,28,3652127,3782555,3844795,3704524.1,-9999,3949066,-9999,-9999,4026430,-9999,3209268,3312540,-9999,3954272,3430901,3564759,3649593,4291466,3594378,3238010,3770367,4462122,4343343,3182435,3505081,3788751,3657086,4444415,3657092,4319643,4447877,3342686,2941995,3310954,4389057,3925893,3710614,3044790,4462063,4449705,4700475,4738190,3427193,2554386,2947396,3010429,3472312,3497532,3040959,2535147,2792329
01,29,3590677,3710244,3775642,3645296,-9999,-9999,3611487,3513665,-9999,3745018,-9999,-9999,3899742,-9999,3368072,3531503,3603832,4218299,3520563,3154480,3701110,4404384,4150552,3135317,3459837,3754066,3602045,4367125,3608012,4270303,4352941,3311823,2885395,3234364,4297130,3831687,3629195,2998373,4425568,4375365,4639854,4657379,3353490,2504147,2889509,2980080,3420997,3495356,2995584,2511624,2711556
01,30,3537387,3636997,3706473,3581573.4,-9999,3790491,-9999,-9999,3836397,-9999,3122065,3204655,-9999,3808925,3313767,3498488,3558946,4122868,3467003,3074244,3636389,4309640,3999934,3080854,3397709,3722379,3548671,4288836,3543486,4232546,4243738,3263285,2832437,3176824,4218822,3752025,3550725,2944198,4345311,4308238,4578469,4578954,3265479,2468573,2824655,2951132,3396545,3496435,2951805,2478256,2629474
01,31,3489885,3568649,3644025,3529719.4,-9999,-9999,3514178,3450431,-9999,3689843,-9999,-9999,3754783,-9999,3274482,3449430,3487848,4024743,3419594,3026889,3570381,4213209,3865810,3037181,3361046,3679785,3489848,4220719,3484252,4181164,4152350,3197962,2776227,3138666,4163537,3665419,3479487,2879774,4283051,4248713,4514424,4540833,3202020,2449346,2781168,2918378,3355358,3464134,2903180,2443390,2557597
02,01,3441229,3500537,3582639,3491537.8,-9999,3643704,-9999,-9999,3704555,-9999,3057484,3104004,-9999,3693316,3237244,3410156,3435940,3940257,3371174,2972976,3488342,4120466,3746781,2991002,3298546,3639887,3422739,4143131,3429494,4130488,4087899,3124541,2710417,3105753,4101523,3578499,3423293,2832167,4272961,4190676,4452392,4507624,3178349,2422393,2729993,2905530,3281812,3413218,2866650,2396942,2506975
02,02,3396765,3441287,3522098,3444112.1,-9999,-9999,3424763,3335304,-9999,3588083,-9999,-9999,3653674,-9999,3200219,3391562,3395405,3850281,3337339,2926808,3431450,4040079,3660183,2942324,3245278,3583727,3338009,4063981,3377532,4054913,4006063,3088560,2664683,3065260,4032097,3505420,3397297,2789560,4201427,4144496,4399563,4444902,3116670,2390157,2666128,2890921,3227551,3348850,2833780,2354266,2472034
02,03,3347743,3373196,3469928,3401893.888888889,-9999,3441577,-9999,-9999,3604397,-9999,2999253,3007424,-9999,3577656,3159445,3353774,3338664,3749872,3278422,2859648,3378350,3944173,3564532,2897668,3209208,3511422,3256992,3981362,3351677,3988480,3961857,3060158,2650078,3025484,3969020,3405387,-9999,2745007,4147438,4079138,4337443,4376550,3069586,2382580,2610617,2868686,3172457,3283136,2754300,2324698,2447733
02,04,3301210,3312591,3423207,3351003.888888889,-9999,-9999,3288006,3225648,-9999,3488634,-9999,-9999,3546851,-9999,3133803,3317037,3296169,3632263,3245463,2822227,3333091,3882726,3465672,2841455,3183178,3423665,3161381,3915239,3323154,3926640,3935576,3036110,2632661,3019615,3924913,3307911,-9999,2719754,4092778,4023702,4269461,4282278,3019631,2373021,2543322,2835088,3146506,3239716,2692746,2291197,2416114
02,05,3257561,3262587,3386086,3301117.3333333335,-9999,3268598,-9999,-9999,3513291,-9999,2951658,2924689,-9999,3445867,3112155,3283039,3243446,3560768,3207835,2804563,3280475,3824853,3406170,2779482,3153406,3364871,3091883,3841165,3301974,3878124,3908467,3002628,2624408,3008949,3898651,3243531,-9999,2683431,4046560,3968517,4203043,4154478,3001380,2356536,2488722,2807389,3133073,3199429,2633537,2273975,2366107
02,06,3207853,3212302,3350702,3251301.5,-9999,-9999,3157827,3137482,-9999,3386678,-9999,-9999,3458689,-9999,3093999,3209715,3195661,3482183,3168976,2753222,3251649,3770173,3359941,2716218,3125893,3299103,3044415,3778133,3258289,3825301,3878531,2959867,2601831,2983187,3888922,3202681,3189714,2648427,3999754,3932943,4134081,4054328,2976996,2353285,2427633,2795854,3090224,3166871,2584265,2254915,2332550
02,07,3159062,3166825,3314401,3208047.9,-9999,3171645,-9999,-9999,3381881,-9999,2879647,2843575,-9999,3327666,3066645,3155760,3165877,3434115,3102916,2698117,3234104,3723411,3329047,2638243,3105037,3237381,3016968,3722662,3211483,3802104,3820004,2933275,2563347,2951341,3873875,3195065,3126762,2622786,3924576,3909781,4064849,3966210,2936400,2355011,2368377,2805727,3041809,3147801,2518231,2221690,2298813
