Month,Day,1980's Average,1990's Average,2000's Average,2010's Average,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01,24,14865088,14390678,13826934,13275344,-9999,15383641,-9999,-9999,15141290,-9999,14327044,14742819,-9999,15046410,14665595,14878558,14565949,14323131,14533709,14943486,14606467,14316521,13904019,14210282,14469341,14033879,14168587,14146852,14181610,13976739,13756482,13369193,12978310,13672392,13875728,13666375,13413617,13138566,13419798,13490711,13449896,13385153,13150589,13172031,12800678,13332401,13491629,13309048,13510077,13079922,13636070
01,25,14892317,14420009,13869499,13313955.1,-9999,-9999,14922949,14951461,-9999,15101341,-9999,-9999,14908941,-9999,14632725,14916221,14570714,14326292,14563068,14998048,14662246,14309881,13934642,14203699,14539498,14092004,14259221,14174820,14224855,14012402,13701172,13412883,12954089,13704837,13915021,13649713,13466484,13190329,13419569,13597107,13533763,13365565,13190106,13216098,12813943,13346587,13527040,13322479,13472305,13106264,13611311
01,26,14927068,14449206,13904422,13328335,-9999,15381584,-9999,-9999,15308393,-9999,14456241,14818413,-9999,15138444,14650291,14928147,14580449,14303911,14584048,15055189,14704318,14350280,13938051,14219540,14611963,14144315,14337074,14203839,14272256,14048109,13733011,13407837,13080135,13666301,13934128,13694645,13480855,13275880,13435930,13659895,13557735,13330821,13220330,13138957,12812742,13370205,13563010,13337334,13498008,13122193,13565013
01,27,14970633,14502222,13939440,13335790.4,-9999,-9999,14911112,15045694,-9999,15118398,-9999,-9999,14981611,-9999,14754536,14937986,14628235,14327679,14637686,15104845,14763548,14397697,13972283,14241720,14715634,14232889,14372908,14230012,14330527,14162289,13822655,13397772,13174239,13654338,13971738,13720718,13449632,13372960,13455059,13657014,13542499,13329480,13227113,13077599,12796939,13449609,13569681,13379952,13521976,13130493,13543913
01,28,15019479,14540199,13978476,13347675.9,-9999,15429755,-9999,-9999,15492500,-9999,14554501,14923998,-9999,15221484,14837704,14942308,14679848,14336256,14695280,15091932,14824999,14412153,14027164,14255418,14792423,14286520,14415105,14278872,14381713,14226604,13845655,13443599,13257906,13693179,14035312,13765371,13435612,13441905,13451393,13632459,13511482,13365802,13218625,13103750,12837742,13477989,13592834,13408580,13603400,13149548,13540136
01,29,15050695,14588000,14021279,13375114.4,-9999,-9999,15017996,15192931,-9999,15248122,-9999,-9999,14928730,-9999,14914116,14933689,14755071,14386170,14728639,15080596,14859148,14450789,14104680,14337348,14859331,14318231,14460845,14316417,14442343,14225673,13839483,13543139,13253214,13723046,14064512,13835684,13476013,13493092,13446359,13647269,13527214,13421780,13246144,13123492,12894925,13474856,13625071,13428030,13697419,13130281,13519317
01,30,15078152,14627246,14063086,13416251.8,-9999,15440732,-9999,-9999,15534179,-9999,14613110,14906058,-9999,15296898,14961569,14918071,14817487,14414866,14783884,15058940,14909777,14460747,14123552,14422228,14923643,14357333,14479088,14365327,14512837,14239566,13807917,13601280,13275030,13735572,14049342,13871295,13550808,13502767,13452829,13654861,13566829,13503573,13284828,13181000,12965511,13499512,13686680,13477429,13758979,13101552,13558754
01,31,15101390,14658476,14090842,13451829.5,-9999,-9999,15118633,15297197,-9999,15338506,-9999,-9999,14961143,-9999,14995797,14928354,14845695,14427397,14844155,15034359,14932990,14493347,14158347,14490039,14970919,14387510,14486444,14404220,14573670,14338746,13805751,13561315,13372044,13751295,14013408,13926652,13605721,13547327,13469693,13643193,13616702,13546452,13317455,13216664,13075211,13479877,13734882,13531281,13784893,13148982,13573665
02,01,15111680,14683122,14111820,13470278.5,-9999,15498134,-9999,-9999,15541969,-9999,14655840,14832890,-9999,15367591,15008151,14943602,14882512,14430139,14876182,15015404,14931551,14510945,14205380,14553966,15007403,14417740,14487530,14439553,14647283,14422648,13809664,13556978,13478900,13785327,14026271,13947998,13647166,13583515,13455503,13608319,13641307,13571368,13308481,13305056,13155320,13426750,13771405,13554224,13785795,13245030,13549771
02,02,15132429,14710673,14140164,13510652,-9999,-9999,15231232,15269286,-9999,15385235,-9999,-9999,14932287,-9999,15016817,14951322,14911246,14423410,14894888,15008459,14968153,14566767,14234168,14623179,15045117,14431342,14523372,14452145,14710235,14441989,13834932,13602999,13546479,13808252,14065415,13957738,13641747,13632313,13535833,13671179,13682025,13564364,13309937,13370485,13251377,13447260,13770924,13604908,13813478,13346431,13600473
02,03,15159813,14738355,14163946,13523750.666666666,-9999,15432826,-9999,-9999,15585002,-9999,14754946,14943544,-9999,15394434,15029791,14961105,14919473,14397309,14901468,14986436,14985783,14613204,14305847,14721079,15084627,14468325,14562731,14436559,14702962,14401562,13916031,13626968,13613308,13803331,14114890,13954700,-9999,13667956,13537472,13761389,13682126,13623866,13370134,13365643,13276778,13428392,13770577,13673946,13848371,13427895,13654535
